model_name,feature_block,earlyv0_external_accuracy,earlyv1_external_accuracy,external_accuracy_delta,earlyv1_has_gain
Linear SVM,all,0.6619718309859155,0.6619718309859155,0.0,False
Linear SVM,all_plus_interactions,0.6619718309859155,0.676056338028169,0.014084507042253502,True
Linear SVM,early_middle,0.676056338028169,0.676056338028169,0.0,False
Linear SVM,early_middle_scale,0.6901408450704225,0.6901408450704225,0.0,False
Linear SVM,early_only,0.5633802816901409,0.6197183098591549,0.05633802816901401,True
Linear SVM,late_only,0.6197183098591549,0.6197183098591549,0.0,False
Linear SVM,middle_late,0.704225352112676,0.704225352112676,0.0,False
Linear SVM,middle_late_scale,0.5774647887323944,0.5774647887323944,0.0,False
Linear SVM,middle_only,0.676056338028169,0.676056338028169,0.0,False
Logistic Regression,all,0.676056338028169,0.676056338028169,0.0,False
Logistic Regression,all_plus_interactions,0.676056338028169,0.676056338028169,0.0,False
Logistic Regression,early_middle,0.6619718309859155,0.6619718309859155,0.0,False
Logistic Regression,early_middle_scale,0.676056338028169,0.676056338028169,0.0,False
Logistic Regression,early_only,0.7183098591549296,0.704225352112676,-0.014084507042253613,False
Logistic Regression,late_only,0.6197183098591549,0.6197183098591549,0.0,False
Logistic Regression,middle_late,0.704225352112676,0.704225352112676,0.0,False
Logistic Regression,middle_late_scale,0.647887323943662,0.647887323943662,0.0,False
Logistic Regression,middle_only,0.676056338028169,0.676056338028169,0.0,False
RBF SVM,all,0.704225352112676,0.704225352112676,0.0,False
RBF SVM,all_plus_interactions,0.6197183098591549,0.6338028169014085,0.014084507042253613,True
RBF SVM,early_middle,0.676056338028169,0.676056338028169,0.0,False
RBF SVM,early_middle_scale,0.676056338028169,0.676056338028169,0.0,False
RBF SVM,early_only,0.6901408450704225,0.6901408450704225,0.0,False
RBF SVM,late_only,0.5915492957746479,0.5915492957746479,0.0,False
RBF SVM,middle_late,0.6197183098591549,0.6197183098591549,0.0,False
RBF SVM,middle_late_scale,0.6056338028169014,0.6056338028169014,0.0,False
RBF SVM,middle_only,0.6056338028169014,0.6056338028169014,0.0,False
