model_name,group,feature_block,mechanism_consistent,best_params,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,mcc,log_loss,brier,tn,fp,fn,tp,threshold
early_middle__svc__poly3,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8450704225352113,0.8464285714285714,0.9428571428571428,0.75,0.7857142857142857,0.8571428571428571,0.8563492063492063,0.8498756960175685,0.7047017126916278,0.593070089770984,0.1749001974483339,27,9,2,33,0.5
early_middle_scale__svc__poly3,sequential_scale,early_middle_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8450704225352113,0.8464285714285714,0.9428571428571428,0.75,0.7857142857142857,0.8571428571428571,0.8492063492063492,0.8368520059399052,0.7047017126916278,0.585476810059699,0.1727669220947911,27,9,2,33,0.5
all_plus_interactions__svc__poly3,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8028169014084507,0.8043650793650794,0.9142857142857144,0.6944444444444444,0.7441860465116279,0.8205128205128205,0.8412698412698413,0.8370074744571908,0.6227257837783966,0.5449156960184661,0.1695651158081001,25,11,3,32,0.5
middle__svc__poly3,single_stage_middle_moderate,middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8028169014084507,0.803968253968254,0.8857142857142857,0.7222222222222222,0.7560975609756098,0.8157894736842105,0.85,0.857225075537433,0.6153057043621667,0.5959509331628084,0.1784590896848235,26,10,4,31,0.5
all__svc__poly3,three_stage_raw,all,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8028169014084507,0.803968253968254,0.8857142857142857,0.7222222222222222,0.7560975609756098,0.8157894736842105,0.85,0.8442105960527239,0.6153057043621667,0.5911330017655186,0.1742555546415967,26,10,4,31,0.5
all_plus_interactions__svc__poly2,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7887323943661971,0.7904761904761904,0.9142857142857144,0.6666666666666666,0.7272727272727273,0.810126582278481,0.8444444444444444,0.8409362293484338,0.5982980511087748,0.5693678140156121,0.1737274910089695,24,12,3,32,0.5
early_middle__lr__l2,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7887323943661971,0.7904761904761904,0.9142857142857144,0.6666666666666666,0.7272727272727273,0.810126582278481,0.8246031746031746,0.8228622777633782,0.5982980511087748,0.832927964997914,0.1944848110520019,24,12,3,32,0.5
middle__svc__rbf,single_stage_middle_moderate,middle,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7887323943661971,0.790079365079365,0.8857142857142857,0.6944444444444444,0.7380952380952381,0.8051948051948052,0.8476190476190476,0.8618114651492311,0.5900766918414433,0.5247110555665078,0.1736809304061384,25,11,4,31,0.5
early_middle_scale__svc__poly2,sequential_scale,early_middle_scale,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7746478873239436,0.7765873015873015,0.9142857142857144,0.6388888888888888,0.7111111111111111,0.8,0.8373015873015873,0.8246009485452379,0.5740564152364306,0.624980437022069,0.1806658126952247,23,13,3,32,0.5
all_plus_interactions__svc__linear,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7746478873239436,0.7765873015873015,0.9142857142857144,0.6388888888888888,0.7111111111111111,0.8,0.834920634920635,0.8253714055440938,0.5740564152364306,0.6038547271946365,0.1825548210775984,23,13,3,32,0.5
