model_name,severity_group,n,accuracy,mean_p_ad,false_positive,false_negative
all__lr__elasticnet,AD_high_MMSE,8,0.75,0.7663858548338579,0,2
all__lr__elasticnet,control,36,0.6388888888888888,0.3980603837813329,13,0
all__lr__elasticnet,early,6,0.8333333333333334,0.816695127399043,0,1
all__lr__elasticnet,late,7,1.0,0.9536611820031774,0,0
all__lr__elasticnet,middle,14,0.7857142857142857,0.7931933172448191,0,3
all__lr__l1,AD_high_MMSE,8,0.875,0.8401292340725842,0,1
all__lr__l1,control,36,0.6111111111111112,0.42316890863689544,14,0
all__lr__l1,early,6,0.8333333333333334,0.7816896577953222,0,1
all__lr__l1,late,7,1.0,0.9659001896811495,0,0
all__lr__l1,middle,14,0.8571428571428571,0.7789584280895056,0,2
all__lr__l2,AD_high_MMSE,8,0.875,0.815944234640416,0,1
all__lr__l2,control,36,0.6666666666666666,0.3681327868083281,12,0
all__lr__l2,early,6,0.8333333333333334,0.8251410054860561,0,1
all__lr__l2,late,7,1.0,0.9286654602437003,0,0
all__lr__l2,middle,14,0.8571428571428571,0.8029723335804996,0,2
all__svc__linear,AD_high_MMSE,8,0.875,0.8469115213810007,0,1
all__svc__linear,control,36,0.5833333333333334,0.44921667230463985,15,0
all__svc__linear,early,6,0.8333333333333334,0.8077768104927104,0,1
all__svc__linear,late,7,1.0,0.9446010347857235,0,0
all__svc__linear,middle,14,0.8571428571428571,0.7790442420646936,0,2
all__svc__poly2,AD_high_MMSE,8,0.875,0.8297794388090376,0,1
all__svc__poly2,control,36,0.6666666666666666,0.401646101965505,12,0
all__svc__poly2,early,6,0.8333333333333334,0.8011374006139668,0,1
all__svc__poly2,late,7,1.0,0.9348267618874955,0,0
all__svc__poly2,middle,14,0.8571428571428571,0.8103416365257992,0,2
all__svc__poly3,AD_high_MMSE,8,0.875,0.8087695682937477,0,1
all__svc__poly3,control,36,0.7222222222222222,0.3859444165836645,10,0
all__svc__poly3,early,6,0.8333333333333334,0.7636305379281039,0,1
all__svc__poly3,late,7,1.0,0.928604626395337,0,0
all__svc__poly3,middle,14,0.8571428571428571,0.8145051217576764,0,2
all__svc__rbf,AD_high_MMSE,8,0.875,0.7811674527499909,0,1
all__svc__rbf,control,36,0.6388888888888888,0.39342615333510056,13,0
all__svc__rbf,early,6,0.8333333333333334,0.7260951234856704,0,1
all__svc__rbf,late,7,1.0,0.9273200850969392,0,0
all__svc__rbf,middle,14,0.8571428571428571,0.7731198111613747,0,2
all__svc__sigmoid,AD_high_MMSE,8,0.875,0.7874672420612627,0,1
all__svc__sigmoid,control,36,0.6666666666666666,0.4140131384806327,12,0
all__svc__sigmoid,early,6,0.8333333333333334,0.7960286058041569,0,1
all__svc__sigmoid,late,7,0.8571428571428571,0.9047204808940549,0,1
all__svc__sigmoid,middle,14,0.8571428571428571,0.7855309428479665,0,2
all_plus_interactions__lr__elasticnet,AD_high_MMSE,8,0.75,0.7579126266497053,0,2
all_plus_interactions__lr__elasticnet,control,36,0.6111111111111112,0.40287038505485084,14,0
all_plus_interactions__lr__elasticnet,early,6,0.8333333333333334,0.8118045391605907,0,1
all_plus_interactions__lr__elasticnet,late,7,1.0,0.9509595345391026,0,0
all_plus_interactions__lr__elasticnet,middle,14,0.9285714285714286,0.8122388143240465,0,1
all_plus_interactions__lr__l1,AD_high_MMSE,8,0.875,0.8629658818603836,0,1
all_plus_interactions__lr__l1,control,36,0.6111111111111112,0.4238543310978111,14,0
all_plus_interactions__lr__l1,early,6,0.8333333333333334,0.7883851466240137,0,1
all_plus_interactions__lr__l1,late,7,1.0,0.9574103154743179,0,0
all_plus_interactions__lr__l1,middle,14,0.8571428571428571,0.7884606868843583,0,2
all_plus_interactions__lr__l2,AD_high_MMSE,8,0.875,0.80356901567536,0,1
all_plus_interactions__lr__l2,control,36,0.6666666666666666,0.34571015728611987,12,0
all_plus_interactions__lr__l2,early,6,0.8333333333333334,0.8067712094611648,0,1
all_plus_interactions__lr__l2,late,7,0.8571428571428571,0.9169114642936808,0,1
all_plus_interactions__lr__l2,middle,14,0.8571428571428571,0.783009510898111,0,2
all_plus_interactions__svc__linear,AD_high_MMSE,8,0.875,0.844053866891906,0,1
all_plus_interactions__svc__linear,control,36,0.6388888888888888,0.4165036391223776,13,0
all_plus_interactions__svc__linear,early,6,0.8333333333333334,0.8041718971460844,0,1
all_plus_interactions__svc__linear,late,7,1.0,0.9259728553657501,0,0
all_plus_interactions__svc__linear,middle,14,0.9285714285714286,0.7788939352551237,0,1
all_plus_interactions__svc__poly2,AD_high_MMSE,8,1.0,0.8312369223013674,0,0
all_plus_interactions__svc__poly2,control,36,0.6666666666666666,0.3885914903710025,12,0
all_plus_interactions__svc__poly2,early,6,0.8333333333333334,0.7976434528900455,0,1
all_plus_interactions__svc__poly2,late,7,1.0,0.9175836319462014,0,0
all_plus_interactions__svc__poly2,middle,14,0.8571428571428571,0.7807046478572826,0,2
all_plus_interactions__svc__poly3,AD_high_MMSE,8,1.0,0.800771811548549,0,0
all_plus_interactions__svc__poly3,control,36,0.6944444444444444,0.37325938099415773,11,0
all_plus_interactions__svc__poly3,early,6,0.8333333333333334,0.7833586700211583,0,1
all_plus_interactions__svc__poly3,late,7,1.0,0.9087177471581984,0,0
all_plus_interactions__svc__poly3,middle,14,0.8571428571428571,0.7686706678627642,0,2
all_plus_interactions__svc__rbf,AD_high_MMSE,8,1.0,0.755136999871763,0,0
all_plus_interactions__svc__rbf,control,36,0.6388888888888888,0.37534798272277237,13,0
all_plus_interactions__svc__rbf,early,6,0.8333333333333334,0.7549991395383661,0,1
all_plus_interactions__svc__rbf,late,7,0.8571428571428571,0.889910516890114,0,1
all_plus_interactions__svc__rbf,middle,14,0.8571428571428571,0.7274438515775212,0,2
all_plus_interactions__svc__sigmoid,AD_high_MMSE,8,0.875,0.7743810173845419,0,1
all_plus_interactions__svc__sigmoid,control,36,0.6666666666666666,0.39585601617874006,12,0
all_plus_interactions__svc__sigmoid,early,6,0.8333333333333334,0.8093097128303692,0,1
all_plus_interactions__svc__sigmoid,late,7,1.0,0.9620550230567085,0,0
