model_name,metric,bootstrap_mean,ci_low,ci_high,n_boot
early__lr__l2,accuracy,0.7007042253521126,0.6052816901408451,0.8028169014084507,200
early__lr__l2,balanced_accuracy,0.7009404761904762,0.604454365079365,0.8031746031746032,200
early__lr__l2,sensitivity,0.7177142857142857,0.5714285714285714,0.8571428571428571,200
early__lr__l2,specificity,0.6841666666666666,0.5555555555555556,0.8062500000000001,200
early__lr__l2,f1,0.7017153364465298,0.583266129032258,0.8055555555555556,200
early__lr__l2,roc_auc,0.7525833333333333,0.6404563492063492,0.852638888888889,200
early__lr__l2,pr_auc,0.7224671589545312,0.6037883638176657,0.8492912000848326,200
early__lr__l2,mcc,0.40435822129097543,0.21020966054998022,0.6068310095291992,200
early__lr__l1,accuracy,0.6874647887323944,0.5774647887323944,0.7887323943661971,200
early__lr__l1,balanced_accuracy,0.6874960317460318,0.5777777777777777,0.7881150793650794,200
early__lr__l1,sensitivity,0.6897142857142857,0.5707142857142857,0.8285714285714286,200
early__lr__l1,specificity,0.6852777777777779,0.5277777777777778,0.8333333333333334,200
early__lr__l1,f1,0.6844849232919031,0.5752446183953033,0.7887671709267953,200
early__lr__l1,roc_auc,0.7420714285714286,0.6365079365079366,0.8485912698412699,200
early__lr__l1,pr_auc,0.7377981408286716,0.6406536830206581,0.8524140623366199,200
early__lr__l1,mcc,0.37698511288085856,0.1556791595127265,0.577807183221531,200
early__lr__elasticnet,accuracy,0.6832394366197184,0.5774647887323944,0.775,200
early__lr__elasticnet,balanced_accuracy,0.6840654761904762,0.5789484126984127,0.7761507936507936,200
early__lr__elasticnet,sensitivity,0.7427142857142858,0.5714285714285714,0.8857142857142857,200
early__lr__elasticnet,specificity,0.6254166666666666,0.4722222222222222,0.7777777777777778,200
early__lr__elasticnet,f1,0.697397947081318,0.5797101449275363,0.7898667122351334,200
early__lr__elasticnet,roc_auc,0.726063492063492,0.6038888888888889,0.8318055555555556,200
early__lr__elasticnet,pr_auc,0.679201322843949,0.5621300706605328,0.8065507773784162,200
early__lr__elasticnet,mcc,0.37263458881508355,0.1614559911208509,0.5590685333775156,200
early__svc__linear,accuracy,0.671549295774648,0.5633802816901409,0.7609154929577465,200
early__svc__linear,balanced_accuracy,0.6733888888888889,0.5658630952380952,0.7634226190476191,200
early__svc__linear,sensitivity,0.804,0.685,0.9142857142857143,200
early__svc__linear,specificity,0.5427777777777778,0.3888888888888889,0.6944444444444444,200
early__svc__linear,f1,0.70691226130359,0.6171296296296296,0.7948717948717948,200
early__svc__linear,roc_auc,0.7616904761904764,0.6563095238095238,0.868373015873016,200
early__svc__linear,pr_auc,0.743109130366457,0.6316952666503491,0.8571899801274846,200
early__svc__linear,mcc,0.36023752492991684,0.14065485866089492,0.5622125536196684,200
early__svc__poly2,accuracy,0.7275352112676056,0.6475352112676057,0.8309859154929577,200
early__svc__poly2,balanced_accuracy,0.7289543650793651,0.6477281746031746,0.8325396825396825,200
early__svc__poly2,sensitivity,0.8297142857142858,0.6857142857142857,0.9428571428571428,200
early__svc__poly2,specificity,0.6281944444444444,0.4722222222222222,0.7777777777777778,200
early__svc__poly2,f1,0.7500174718363283,0.6666666666666666,0.8461538461538461,200
early__svc__poly2,roc_auc,0.7418809523809523,0.6236507936507937,0.8447222222222223,200
early__svc__poly2,pr_auc,0.6934241724596827,0.5809898796844667,0.8272699472516852,200
early__svc__poly2,mcc,0.46893851495740696,0.2960100592182684,0.6803705434241152,200
early__svc__poly3,accuracy,0.7015492957746479,0.6056338028169014,0.8028169014084507,200
early__svc__poly3,balanced_accuracy,0.7033650793650793,0.6075396825396826,0.8039781746031747,200
early__svc__poly3,sensitivity,0.8322857142857143,0.7142857142857143,0.9428571428571428,200
early__svc__poly3,specificity,0.5744444444444444,0.3888888888888889,0.7222222222222222,200
early__svc__poly3,f1,0.7333058580370355,0.6499837662337663,0.819308001235712,200
early__svc__poly3,roc_auc,0.7591071428571428,0.6419642857142857,0.8580555555555556,200
early__svc__poly3,pr_auc,0.7262783950899597,0.6175760492533147,0.8479738336137236,200
early__svc__poly3,mcc,0.42196924522296864,0.22319840535017604,0.6223475979338293,200
early__svc__rbf,accuracy,0.7140845070422536,0.6193661971830986,0.8169014084507042,200
early__svc__rbf,balanced_accuracy,0.7153055555555556,0.619920634920635,0.8182638888888889,200
early__svc__rbf,sensitivity,0.8020000000000002,0.6857142857142857,0.9428571428571428,200
early__svc__rbf,specificity,0.6286111111111111,0.49930555555555556,0.75,200
early__svc__rbf,f1,0.7342982292084252,0.6491425241425242,0.8312756863389775,200
early__svc__rbf,roc_auc,0.7640198412698413,0.6475992063492063,0.863531746031746,200
early__svc__rbf,pr_auc,0.7463395935831049,0.6357296034231591,0.8663053452537932,200
early__svc__rbf,mcc,0.4383607825108443,0.2406044958360755,0.647612714526824,200
early__svc__sigmoid,accuracy,0.7279577464788732,0.6334507042253522,0.8313380281690141,200
early__svc__sigmoid,balanced_accuracy,0.7289821428571429,0.634593253968254,0.8328769841269842,200
early__svc__sigmoid,sensitivity,0.8017142857142858,0.6857142857142857,0.9428571428571428,200
early__svc__sigmoid,specificity,0.65625,0.5,0.8055555555555556,200
early__svc__sigmoid,f1,0.7437991195128171,0.6578947368421053,0.8463333333333334,200
early__svc__sigmoid,roc_auc,0.7789642857142858,0.6681944444444444,0.8809920634920635,200
early__svc__sigmoid,pr_auc,0.7496773208661054,0.6310934493220753,0.8752537328574052,200
early__svc__sigmoid,mcc,0.4646854159345433,0.27266032728113543,0.6808018379453017,200
middle__lr__l2,accuracy,0.7428169014084507,0.6338028169014085,0.8450704225352113,200
middle__lr__l2,balanced_accuracy,0.7440238095238095,0.635297619047619,0.8456349206349206,200
middle__lr__l2,sensitivity,0.8297142857142857,0.6857142857142857,0.9428571428571428,200
middle__lr__l2,specificity,0.6583333333333333,0.5,0.8055555555555556,200
middle__lr__l2,f1,0.760921438832252,0.6580059181325004,0.8493321917808219,200
middle__lr__l2,roc_auc,0.8161865079365078,0.7092063492063493,0.9007936507936508,200
middle__lr__l2,pr_auc,0.827449166034101,0.7234715343596214,0.9074557358564267,200
middle__lr__l2,mcc,0.49674861357592703,0.27669424582411245,0.6929216234127838,200
middle__lr__l1,accuracy,0.6479577464788733,0.5492957746478874,0.746830985915493,200
middle__lr__l1,balanced_accuracy,0.6497103174603174,0.5507837301587302,0.7491170634920635,200
middle__lr__l1,sensitivity,0.7741428571428571,0.6285714285714286,0.9142857142857143,200
middle__lr__l1,specificity,0.5252777777777777,0.3611111111111111,0.6944444444444444,200
middle__lr__l1,f1,0.684124626917966,0.5865833333333333,0.773375,200
middle__lr__l1,roc_auc,0.7820674603174602,0.6680952380952381,0.8826587301587303,200
middle__lr__l1,pr_auc,0.76008889279871,0.6257792549110021,0.8892956033873943,200
middle__lr__l1,mcc,0.31053946267955224,0.10387525920835644,0.5235315583129172,200
middle__lr__elasticnet,accuracy,0.7149295774647888,0.6056338028169014,0.8031690140845071,200
middle__lr__elasticnet,balanced_accuracy,0.7169424603174603,0.6087202380952381,0.8054861111111112,200
middle__lr__elasticnet,sensitivity,0.859857142857143,0.7428571428571429,0.9714285714285714,200
middle__lr__elasticnet,specificity,0.5740277777777778,0.4166666666666667,0.75,200
middle__lr__elasticnet,f1,0.748780645412673,0.6582195203197868,0.8293158061450744,200
middle__lr__elasticnet,roc_auc,0.7807857142857142,0.6649999999999999,0.8904960317460316,200
middle__lr__elasticnet,pr_auc,0.7525352696626686,0.6178582701585463,0.8902252536669095,200
middle__lr__elasticnet,mcc,0.45341098634116833,0.24150738272963598,0.6450985427090286,200
middle__svc__linear,accuracy,0.6721830985915492,0.5630281690140846,0.7746478873239436,200
middle__svc__linear,balanced_accuracy,0.6747480158730158,0.5647718253968254,0.776984126984127,200
middle__svc__linear,sensitivity,0.8568571428571429,0.7142857142857143,0.9714285714285714,200
