model_name,group,feature_block,mechanism_consistent,best_cv_score_grid,best_params,fit_seconds,cv_accuracy,cv_balanced_accuracy,cv_sensitivity,cv_specificity,cv_precision,cv_f1,cv_roc_auc,cv_pr_auc,cv_mcc,cv_log_loss,cv_brier,cv_tn,cv_fp,cv_fn,cv_tp,cv_threshold,cv_repeated_oof_available
middle__svc__poly2,single_stage_middle_moderate,middle,False,0.8816993464052287,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",1.9443004131317139,0.8975903614457831,0.8982249381638294,0.8850574712643678,0.9113924050632911,0.9166666666666666,0.9005847953216374,0.9576604103011785,0.9653077330348728,0.7955821890929051,0.26882574476164367,0.08257049070123773,72,7,10,77,0.5,True
middle_late__svc__poly2,two_stage_raw,middle_late,False,0.8916815210932857,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",1.8495995998382568,0.8975903614457831,0.8976429506765604,0.896551724137931,0.8987341772151899,0.9069767441860465,0.9017341040462428,0.9582423977884476,0.965653138891868,0.7948812198084019,0.2713473773147143,0.08321944052395645,71,8,9,78,0.5,True
middle__svc__poly3,single_stage_middle_moderate,middle,False,0.861437908496732,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",1.9977784156799316,0.8975903614457831,0.8970609631892914,0.9080459770114943,0.8860759493670886,0.8977272727272727,0.9028571428571428,0.9506765604539503,0.9591520788388428,0.7946423777242676,0.2893873997962255,0.09015347624772263,70,9,8,79,0.5,True
middle_late__svc__poly3,two_stage_raw,middle_late,False,0.867498514557338,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",1.7214086055755615,0.8975903614457831,0.8970609631892914,0.9080459770114943,0.8860759493670886,0.8977272727272727,0.9028571428571428,0.9518405354284882,0.9595789641021315,0.7946423777242676,0.28691637993109037,0.08915171136222741,70,9,8,79,0.5,True
all_plus_interactions__lr__elasticnet,three_stage_full_interaction,all_plus_interactions,False,0.8816399286987522,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.5}",425.34402656555176,0.891566265060241,0.8930597992143169,0.8620689655172413,0.9240506329113924,0.9259259259259259,0.8928571428571429,0.9631892914302341,0.9703112563468306,0.7854342281166223,0.2511632207698038,0.07778332954788916,73,6,12,75,0.5,True
middle__svc__linear,single_stage_middle_moderate,middle,False,0.8675579322638145,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.4590463638305664,0.891566265060241,0.8913138367525097,0.896551724137931,0.8860759493670886,0.896551724137931,0.896551724137931,0.9599883602502547,0.9684311375737842,0.7826276735050196,0.26581790328696286,0.08109671331823531,70,9,9,78,0.5,True
early_middle__svc__linear,two_stage_raw,early_middle,False,0.8795603089720735,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.5972959995269775,0.891566265060241,0.8913138367525097,0.896551724137931,0.8860759493670886,0.896551724137931,0.896551724137931,0.9707551287647317,0.976057743299021,0.7826276735050196,0.23614590100007646,0.07218112542080805,70,9,9,78,0.5,True
early_middle_scale__svc__linear,sequential_scale,early_middle_scale,False,0.8837195484254307,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.8737685680389404,0.891566265060241,0.8913138367525097,0.896551724137931,0.8860759493670886,0.896551724137931,0.896551724137931,0.9713371162520006,0.9763732469702348,0.7826276735050196,0.235481753753196,0.07161705990115853,70,9,9,78,0.5,True
middle_late_scale__svc__sigmoid,sequential_scale,middle_late_scale,False,0.8717171717171718,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",3.439915418624878,0.891566265060241,0.8907318492652407,0.9080459770114943,0.8734177215189873,0.8876404494382022,0.8977272727272727,0.9516950385566709,0.9570347451336896,0.7826031912595808,0.29810188307337215,0.09016625695536946,69,10,8,79,0.5,True
all_plus_interactions__lr__l1,three_stage_full_interaction,all_plus_interactions,False,0.8674985145573382,"{""clf__C"": 1.0, ""clf__class_weight"": null}",2.643519401550293,0.8855421686746988,0.8884766477520734,0.8275862068965517,0.9493670886075949,0.9473684210526315,0.8834355828220859,0.9532955041466608,0.96343272835439,0.778825269798075,0.2924354933135616,0.08737627277022063,75,4,15,72,0.5,True
