model_spec_id,feature_block,model_name,model_variant,is_special_model,earlyv0_external_accuracy,earlyv1_external_accuracy,external_accuracy_delta,earlyv1_has_gain
early_only__lr__l2,early_only,lr__l2,lr__l2,False,0.704225352112676,0.704225352112676,0.0,False
early_only__lr__l1,early_only,lr__l1,lr__l1,False,0.5633802816901409,0.5633802816901409,0.0,False
early_only__lr__elasticnet,early_only,lr__elasticnet,lr__elasticnet,False,0.6619718309859155,0.6619718309859155,0.0,False
early_only__svc__linear,early_only,svc__linear,svc__linear,False,0.6901408450704225,0.676056338028169,-0.014084507042253502,False
early_only__svc__poly2,early_only,svc__poly2,svc__poly2,False,0.7183098591549296,0.704225352112676,-0.014084507042253613,False
early_only__svc__poly3,early_only,svc__poly3,svc__poly3,False,0.704225352112676,0.704225352112676,0.0,False
early_only__svc__rbf,early_only,svc__rbf,svc__rbf,False,0.6901408450704225,0.704225352112676,0.014084507042253502,True
early_only__svc__sigmoid,early_only,svc__sigmoid,svc__sigmoid,False,0.7464788732394366,0.7323943661971831,-0.014084507042253502,False
middle_only__lr__l2,middle_only,lr__l2,lr__l2,False,0.7464788732394366,0.7464788732394366,0.0,False
middle_only__lr__l1,middle_only,lr__l1,lr__l1,False,0.6619718309859155,0.6619718309859155,0.0,False
middle_only__lr__elasticnet,middle_only,lr__elasticnet,lr__elasticnet,False,0.676056338028169,0.676056338028169,0.0,False
middle_only__svc__linear,middle_only,svc__linear,svc__linear,False,0.676056338028169,0.676056338028169,0.0,False
middle_only__svc__poly2,middle_only,svc__poly2,svc__poly2,False,0.7746478873239436,0.7746478873239436,0.0,False
middle_only__svc__poly3,middle_only,svc__poly3,svc__poly3,False,0.8028169014084507,0.8028169014084507,0.0,False
middle_only__svc__rbf,middle_only,svc__rbf,svc__rbf,False,0.7887323943661971,0.7887323943661971,0.0,False
middle_only__svc__sigmoid,middle_only,svc__sigmoid,svc__sigmoid,False,0.7183098591549296,0.7183098591549296,0.0,False
late_only__lr__l2,late_only,lr__l2,lr__l2,False,0.4788732394366197,0.4788732394366197,0.0,False
late_only__lr__l1,late_only,lr__l1,lr__l1,False,0.49295774647887325,0.49295774647887325,0.0,False
late_only__lr__elasticnet,late_only,lr__elasticnet,lr__elasticnet,False,0.5633802816901409,0.5633802816901409,0.0,False
late_only__svc__linear,late_only,svc__linear,svc__linear,False,0.5070422535211268,0.5070422535211268,0.0,False
late_only__svc__poly2,late_only,svc__poly2,svc__poly2,False,0.5492957746478874,0.5492957746478874,0.0,False
