early_variant,model_spec_id,feature_block,classifier_name,model_family,external_accuracy,external_precision,external_recall,external_f1,external_auc,n_features,selected_by,selection_threshold,selection_source
earlyv0,early_middle__svc__poly3,early_middle,svc__poly3,svc,0.8450704225352113,0.7857142857142857,0.9428571428571428,0.8571428571428571,0.8555555555555555,1086,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,all__svc__poly3,all,svc__poly3,svc,0.8309859154929577,0.7674418604651163,0.9428571428571428,0.8461538461538461,0.85,1099,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,all__svc__poly3,all,svc__poly3,svc,0.8309859154929577,0.7674418604651163,0.9428571428571428,0.8461538461538461,0.8515873015873016,1100,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,early_middle__svc__poly3,early_middle,svc__poly3,svc,0.8309859154929577,0.7804878048780488,0.9142857142857144,0.8421052631578947,0.8563492063492063,1087,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle_scale__svc__poly3,early_middle_scale,svc__poly3,svc,0.8028169014084507,0.7441860465116279,0.9142857142857144,0.8205128205128205,0.853968253968254,1148,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,middle_only__svc__poly3,middle_only,svc__poly3,svc,0.8028169014084507,0.7560975609756098,0.8857142857142857,0.8157894736842105,0.8468253968253968,1025,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,early_middle_scale__svc__poly3,early_middle_scale,svc__poly3,svc,0.8028169014084507,0.7441860465116279,0.9142857142857144,0.8205128205128205,0.8531746031746031,1150,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,middle_only__svc__poly3,middle_only,svc__poly3,svc,0.8028169014084507,0.7560975609756098,0.8857142857142857,0.8157894736842105,0.8468253968253968,1025,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,middle_late__svc__poly3,middle_late,svc__poly3,svc,0.7887323943661971,0.7380952380952381,0.8857142857142857,0.8051948051948052,0.8388888888888889,1038,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,middle_late__svc__poly3,middle_late,svc__poly3,svc,0.7887323943661971,0.7380952380952381,0.8857142857142857,0.8051948051948052,0.8388888888888889,1038,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
