model_name,group,feature_block,mechanism_consistent,best_cv_score_grid,best_params,fit_seconds,cv_accuracy,cv_balanced_accuracy,cv_sensitivity,cv_specificity,cv_precision,cv_f1,cv_roc_auc,cv_pr_auc,cv_mcc,cv_log_loss,cv_brier,cv_tn,cv_fp,cv_fn,cv_tp,cv_threshold,cv_repeated_oof_available
middle__lr__elasticnet,single_stage_middle_moderate,middle,False,0.8977941176470589,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}",121.67657351493835,0.8975903614457831,0.8988069256510985,0.8735632183908046,0.9240506329113924,0.926829268292683,0.8994082840236687,0.9553324603521024,0.9640928307143972,0.7967448959823357,0.2682383442931252,0.0846640574400231,73,6,11,76,0.5,True
middle_late__lr__elasticnet,two_stage_raw,middle_late,False,0.8977941176470589,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}",116.13125133514404,0.8975903614457831,0.8988069256510985,0.8735632183908046,0.9240506329113924,0.926829268292683,0.8994082840236687,0.9551869634802852,0.9640566063564886,0.7967448959823357,0.269605231245109,0.08495646399074788,73,6,11,76,0.5,True
middle_late_scale__svc__poly2,sequential_scale,middle_late_scale,False,0.8926470588235293,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",5.916174411773682,0.8975903614457831,0.8982249381638294,0.8850574712643678,0.9113924050632911,0.9166666666666666,0.9005847953216374,0.9575149134293612,0.9633234421546861,0.7955821890929051,0.265415935709823,0.08371539108710853,72,7,10,77,0.5,True
stage_score_middle_late__lr__l2,stage_score_interaction,all,True,0.8926470588235293,"{""base_C"": 0.1, ""class_weight"": ""balanced"", ""meta_C"": 0.1}",3.2533836364746094,0.891566265060241,0.8936417867015859,0.8505747126436781,0.9367088607594937,0.9367088607594937,0.891566265060241,0.9499490760948639,0.9593522465056622,0.7872835734031718,0.3345722374272283,0.09799295369557319,74,5,13,74,0.5,True
all_plus_interactions__svc__linear,three_stage_full_interaction,all_plus_interactions,False,0.8919117647058823,"{""clf__C"": 0.1, ""clf__class_weight"": null}",2.3216466903686523,0.891566265060241,0.8918958242397789,0.8850574712643678,0.8987341772151899,0.9058823529411765,0.8953488372093024,0.9656627382511276,0.9679330368544807,0.7831083077668415,0.2395569476998102,0.07280571484654814,71,8,10,77,0.5,True
middle_late__svc__linear,two_stage_raw,middle_late,False,0.8919117647058823,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.1337394714355469,0.891566265060241,0.8913138367525097,0.896551724137931,0.8860759493670886,0.896551724137931,0.896551724137931,0.9594063727629856,0.9664724743310993,0.7826276735050196,0.26211682633138966,0.08078950375130618,70,9,9,78,0.5,True
sequential_interactions__svc__poly2,sequential_scale,sequential_interactions,False,0.8926470588235293,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",2.02854585647583,0.891566265060241,0.8913138367525097,0.896551724137931,0.8860759493670886,0.896551724137931,0.896551724137931,0.951695038556671,0.9534684849418814,0.7826276735050196,0.28059104960372094,0.08629616400738008,70,9,9,78,0.5,True
middle__svc__linear,single_stage_middle_moderate,middle,False,0.8856617647058822,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.7596750259399414,0.891566265060241,0.8907318492652407,0.9080459770114943,0.8734177215189873,0.8876404494382022,0.8977272727272727,0.9611523352247926,0.9682730677638051,0.7826031912595808,0.2572289070436464,0.07923453187405,69,10,8,79,0.5,True
early_middle__lr__l2,two_stage_raw,early_middle,False,0.8860294117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.3321902751922607,0.8855421686746988,0.8878946602648043,0.8390804597701149,0.9367088607594937,0.9358974358974359,0.8848484848484849,0.9672632038411174,0.9721259310698888,0.7762977570585919,0.2481619913801589,0.08114580650637311,74,5,14,73,0.5,True
early_middle_scale__lr__l2,sequential_scale,early_middle_scale,False,0.8860294117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.689939260482788,0.8855421686746988,0.8878946602648043,0.8390804597701149,0.9367088607594937,0.9358974358974359,0.8848484848484849,0.9659537319947621,0.9704005176904568,0.7762977570585919,0.25116074663069127,0.08214530641613221,74,5,14,73,0.5,True
