model_name,group,feature_block,mechanism_consistent,best_params,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,mcc,log_loss,brier,tn,fp,fn,tp,threshold
early_middle__svc__poly3,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8450704225352113,0.8464285714285714,0.9428571428571428,0.75,0.7857142857142857,0.8571428571428571,0.8555555555555556,0.8495918185858243,0.7047017126916278,0.5952628635133338,0.1749240382727388,27,9,2,33,0.5
early_middle_scale__svc__poly3,sequential_scale,early_middle_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8309859154929577,0.8321428571428571,0.9142857142857143,0.75,0.7804878048780488,0.8421052631578947,0.8484126984126984,0.8335280747414094,0.6723379563330725,0.5868074260051314,0.17275803553498326,27,9,3,32,0.5
all__svc__poly3,three_stage_raw,all,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8169014084507042,0.8182539682539682,0.9142857142857143,0.7222222222222222,0.7619047619047619,0.8311688311688312,0.8515873015873017,0.8458189265425937,0.6473892022665356,0.5936985186732538,0.17414611435166813,26,10,3,32,0.5
middle_late_scale__svc__poly3,sequential_scale,middle_late_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8028169014084507,0.8043650793650794,0.9142857142857143,0.6944444444444444,0.7441860465116279,0.8205128205128205,0.8253968253968254,0.8236290219812092,0.6227257837783966,0.6389789448151878,0.18597189333359715,25,11,3,32,0.5
middle__svc__poly3,single_stage_middle_moderate,middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.8028169014084507,0.803968253968254,0.8857142857142857,0.7222222222222222,0.7560975609756098,0.8157894736842105,0.8468253968253968,0.8550885579441017,0.6153057043621667,0.598726585542188,0.1787967526268323,26,10,4,31,0.5
all__svc__poly2,three_stage_raw,all,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7887323943661971,0.7904761904761904,0.9142857142857143,0.6666666666666666,0.7272727272727273,0.810126582278481,0.8428571428571429,0.8374717805785598,0.5982980511087748,0.6386271063183809,0.18209833732786346,24,12,3,32,0.5
early_middle__lr__l2,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7887323943661971,0.7904761904761904,0.9142857142857143,0.6666666666666666,0.7272727272727273,0.810126582278481,0.8246031746031746,0.8228622777633782,0.5982980511087748,0.833167360168856,0.19447692036341804,24,12,3,32,0.5
middle__svc__rbf,single_stage_middle_moderate,middle,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7887323943661971,0.790079365079365,0.8857142857142857,0.6944444444444444,0.7380952380952381,0.8051948051948052,0.8476190476190476,0.8618114651492311,0.5900766918414433,0.5243398476446457,0.17355746355019777,25,11,4,31,0.5
middle_late__svc__poly3,two_stage_raw,middle_late,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7887323943661971,0.790079365079365,0.8857142857142857,0.6944444444444444,0.7380952380952381,0.8051948051948052,0.8436507936507937,0.8516945138314118,0.5900766918414433,0.5977242676829143,0.17812816675315837,25,11,4,31,0.5
all_plus_interactions__svc__poly2,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7887323943661971,0.790079365079365,0.8857142857142857,0.6944444444444444,0.7380952380952381,0.8051948051948052,0.8150793650793651,0.7924310181179107,0.5900766918414433,0.697500096854023,0.18709366521808649,25,11,4,31,0.5
