model_name,severity_group,n,accuracy,mean_p_ad,false_negatives,false_positives
all__lr__elasticnet,AD_high_MMSE,8,0.875,0.8119662062121229,1,0
all__lr__elasticnet,control,36,0.6111111111111112,0.43626134093425933,0,14
all__lr__elasticnet,early,6,0.8333333333333334,0.8037738357079229,1,0
all__lr__elasticnet,late,7,1.0,0.9677123213724782,0,0
all__lr__elasticnet,middle,14,0.8571428571428571,0.8179365164053829,2,0
all__lr__l1,AD_high_MMSE,8,0.875,0.8468142786814621,1,0
all__lr__l1,control,36,0.6111111111111112,0.4283947501275818,0,14
all__lr__l1,early,6,0.8333333333333334,0.783601105997934,1,0
all__lr__l1,late,7,1.0,0.9656005999298899,0,0
all__lr__l1,middle,14,0.8571428571428571,0.7776841815183012,2,0
all__lr__l2,AD_high_MMSE,8,0.875,0.8050228728088754,1,0
all__lr__l2,control,36,0.6666666666666666,0.38622554775299317,0,12
all__lr__l2,early,6,0.8333333333333334,0.7987271533862493,1,0
all__lr__l2,late,7,0.8571428571428571,0.9158784713234226,1,0
all__lr__l2,middle,14,0.8571428571428571,0.7767455206751119,2,0
all__svc__linear,AD_high_MMSE,8,0.875,0.8547698485408032,1,0
all__svc__linear,control,36,0.5833333333333334,0.4582658379970766,0,15
all__svc__linear,early,6,0.8333333333333334,0.8081324655458643,1,0
all__svc__linear,late,7,1.0,0.9478114108308573,0,0
all__svc__linear,middle,14,0.8571428571428571,0.7784036696502528,2,0
all__svc__poly2,AD_high_MMSE,8,0.875,0.8431848481276885,1,0
all__svc__poly2,control,36,0.6666666666666666,0.4087209540349455,0,12
all__svc__poly2,early,6,0.8333333333333334,0.8016408093302151,1,0
all__svc__poly2,late,7,1.0,0.934375310180952,0,0
all__svc__poly2,middle,14,0.9285714285714286,0.8118066714808071,1,0
all__svc__poly3,AD_high_MMSE,8,1.0,0.8239367393007617,0,0
all__svc__poly3,control,36,0.7222222222222222,0.39298771633480595,0,10
all__svc__poly3,early,6,0.8333333333333334,0.7640646803001115,1,0
all__svc__poly3,late,7,1.0,0.9283156689020757,0,0
all__svc__poly3,middle,14,0.8571428571428571,0.8162133437427979,2,0
all__svc__rbf,AD_high_MMSE,8,0.875,0.7894251864640875,1,0
all__svc__rbf,control,36,0.6388888888888888,0.3977468217871356,0,13
all__svc__rbf,early,6,0.8333333333333334,0.7257434251156297,1,0
all__svc__rbf,late,7,1.0,0.9261126302148229,0,0
all__svc__rbf,middle,14,0.8571428571428571,0.7756936011380315,2,0
all__svc__sigmoid,AD_high_MMSE,8,0.875,0.8037833869360842,1,0
all__svc__sigmoid,control,36,0.6666666666666666,0.41923974011489207,0,12
all__svc__sigmoid,early,6,0.8333333333333334,0.79871895685168,1,0
all__svc__sigmoid,late,7,0.8571428571428571,0.9062469938884133,1,0
all__svc__sigmoid,middle,14,0.8571428571428571,0.7941836651783538,2,0
all_plus_interactions__lr__elasticnet,AD_high_MMSE,8,0.875,0.8157296713688358,1,0
all_plus_interactions__lr__elasticnet,control,36,0.5833333333333334,0.44491759191505165,0,15
all_plus_interactions__lr__elasticnet,early,6,0.8333333333333334,0.80280682934977,1,0
all_plus_interactions__lr__elasticnet,late,7,1.0,0.9415535328641145,0,0
all_plus_interactions__lr__elasticnet,middle,14,0.8571428571428571,0.8110911476534179,2,0
all_plus_interactions__lr__l1,AD_high_MMSE,8,0.875,0.8681930950447321,1,0
all_plus_interactions__lr__l1,control,36,0.6111111111111112,0.44983496697384834,0,14
all_plus_interactions__lr__l1,early,6,0.8333333333333334,0.809932893584611,1,0
all_plus_interactions__lr__l1,late,7,0.8571428571428571,0.9115822460117585,1,0
all_plus_interactions__lr__l1,middle,14,0.8571428571428571,0.7913974696108438,2,0
