model_name,group,feature_block,best_cv_score_grid,best_params
middle__lr__elasticnet,single_stage_middle_moderate,middle,0.8977941176470589,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}"
middle_late__lr__elasticnet,two_stage_raw,middle_late,0.8977941176470589,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}"
middle_late_scale__svc__poly2,sequential_scale,middle_late_scale,0.8926470588235293,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
stage_score_middle_late__lr__l2,stage_score_interaction,all,0.8926470588235293,"{""base_C"": 0.1, ""class_weight"": ""balanced"", ""meta_C"": 0.1}"
all_plus_interactions__svc__linear,three_stage_full_interaction,all_plus_interactions,0.8919117647058823,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
middle_late__svc__linear,two_stage_raw,middle_late,0.8919117647058823,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
sequential_interactions__svc__poly2,sequential_scale,sequential_interactions,0.8926470588235293,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle__svc__linear,single_stage_middle_moderate,middle,0.8856617647058822,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_middle__lr__l2,two_stage_raw,early_middle,0.8860294117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
early_middle_scale__lr__l2,sequential_scale,early_middle_scale,0.8860294117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
middle_late_scale__lr__l2,sequential_scale,middle_late_scale,0.8863970588235294,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
early_middle_scale__svc__sigmoid,sequential_scale,early_middle_scale,0.86875,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
middle_late_scale__lr__elasticnet,sequential_scale,middle_late_scale,0.8863970588235294,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.5}"
early_middle_scale__svc__linear,sequential_scale,early_middle_scale,0.8852941176470587,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
sequential_interactions__svc__linear,sequential_scale,sequential_interactions,0.8930147058823529,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
all_plus_interactions__svc__poly2,three_stage_full_interaction,all_plus_interactions,0.8919117647058823,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle__svc__poly2,single_stage_middle_moderate,middle,0.8922794117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle__lr__l2,single_stage_middle_moderate,middle,0.8808823529411764,"{""clf__C"": 0.03, ""clf__class_weight"": null}"
middle_late__lr__l2,two_stage_raw,middle_late,0.8808823529411764,"{""clf__C"": 0.03, ""clf__class_weight"": null}"
all__lr__l2,three_stage_raw,all,0.8801470588235294,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
all_plus_interactions__lr__l2,three_stage_full_interaction,all_plus_interactions,0.8805147058823529,"{""clf__C"": 0.03, ""clf__class_weight"": null}"
early_middle__svc__sigmoid,two_stage_raw,early_middle,0.8746323529411765,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
all__svc__sigmoid,three_stage_raw,all,0.8746323529411765,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
all_plus_interactions__lr__l1,three_stage_full_interaction,all_plus_interactions,0.8805147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
early_middle__lr__elasticnet,two_stage_raw,early_middle,0.8801470588235294,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}"
early_middle__svc__linear,two_stage_raw,early_middle,0.8915441176470587,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_middle__svc__poly2,two_stage_raw,early_middle,0.8738970588235293,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
all__lr__elasticnet,three_stage_raw,all,0.8801470588235294,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}"
all__svc__linear,three_stage_raw,all,0.8852941176470587,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
all__svc__poly2,three_stage_raw,all,0.8738970588235293,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_middle_scale__lr__elasticnet,sequential_scale,early_middle_scale,0.8801470588235294,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}"
early_middle_scale__svc__poly2,sequential_scale,early_middle_scale,0.8738970588235293,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle_late_scale__svc__linear,sequential_scale,middle_late_scale,0.8738970588235293,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
middle_late_scale__svc__poly3,sequential_scale,middle_late_scale,0.8507352941176471,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
mlp_svc_late_calibrated__lr__l2,performance_corrected,all,0.8797794117647058,"{""class_weight"": null, ""late_C"": 0.03, ""meta_C"": 1.0}"
middle_late__svc__poly2,two_stage_raw,middle_late,0.8922794117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
stage_score_early_middle__lr__l2,stage_score_interaction,all,0.8746323529411765,"{""base_C"": 1.0, ""class_weight"": null, ""meta_C"": 1.0}"
stage_score_three_stage__lr__l2,stage_score_interaction,all,0.8746323529411765,"{""base_C"": 1.0, ""class_weight"": null, ""meta_C"": 0.1}"
early_middle__lr__l1,two_stage_raw,early_middle,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
all__lr__l1,three_stage_raw,all,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
early_middle_scale__lr__l1,sequential_scale,early_middle_scale,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
sequential_interactions__lr__l2,sequential_scale,sequential_interactions,0.8746323529411765,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
all_plus_interactions__svc__sigmoid,three_stage_full_interaction,all_plus_interactions,0.8680147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
middle_late__svc__sigmoid,two_stage_raw,middle_late,0.8805147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
all_plus_interactions__lr__elasticnet,three_stage_full_interaction,all_plus_interactions,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.75}"
middle__lr__l1,single_stage_middle_moderate,middle,0.8680147058823529,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
middle_late__lr__l1,two_stage_raw,middle_late,0.8680147058823529,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
